Seller Name,RapNet Account ID,Name Code,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,Fluorescence Intensity,Lab,Certificate Number,Stock Number,Price Per Carat,Price Percentage,Total Price,Cash Price Per Carat,Cash Price Percentage,Total Cash Price,State,Country,Certificate URL,Image URL,Diamond ID
SUPERGEMS NV,21343,Supergem,Round,1.740,K,VVS1,Very Good,Excellent,Excellent,Slight,HRD,13/031/343/031,170004607,,,,3596.0000,-0.4200,6257.0400,,Belgium,http://www.supergemsgroup.com/certificates/170004607.jpg,http://www.supergemsgroup.com/diamondphoto/170004607-P.jpg,48933026
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,0.920,M,SI1,Very Good,Very Good,Very Good,None,IGI,F6F39329,557484,1404.0000,-0.4800,1291.6800,,,,,Belgium,,,53368809
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.000,D,VS1,Very Good,Excellent,Excellent,Slight,HRD,14011828001,577257,6655.0000,-0.4500,6655.0000,,,,,Belgium,,,53368827
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.000,D,VS1,Very Good,Very Good,Very Good,None,GIA,2157415295,545852,7865.0000,-0.3500,7865.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/7/1/2157415295.pdf,,53368828
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.000,E,SI2,Excellent,Very Good,Excellent,Slight,IGI,F6B90249,5111071,3432.0000,-0.4800,3432.0000,,,,,Belgium,,,53368843
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,E,VS1,Very Good,Excellent,Excellent,Faint,GIA,5163752977,571268,6634.0000,-0.3800,6700.3400,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2014/1/21/5163752977.pdf,,53368940
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,F,SI2,Very Good,Excellent,Excellent,Medium,GIA,1175051069,578689,3591.0000,-0.4300,3626.9100,,,,,Belgium,http://www.feedcenter.net/files/258/certs/1175051069.Pdf,,53368966
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,J,VVS2,Very Good,Very Good,Excellent,None,HRD,14009657032,578649,3120.0000,-0.4800,3151.2000,,,,,Belgium,,,53369033
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,K,SI1,Excellent,Excellent,Excellent,Faint,GIA,2167538154,565563,2666.0000,-0.3800,2692.6600,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/1/8/2167538154.pdf,,53369042
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.020,I,VVS1,Very Good,Excellent,Very Good,Strong,HRD,12019459001,516667,3626.0000,-0.5100,3698.5200,,,,,Belgium,,,53369092
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.030,K,SI1,Excellent,Excellent,Excellent,None,HRD,14009657041,577586,2580.0000,-0.4000,2657.4000,,,,,Belgium,,,53369110
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.080,H,IF,Excellent,Excellent,Excellent,Faint,GIA,2167778365,568705,5796.0000,-0.3700,6259.6800,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/3/3/2167778365.pdf,,53369154
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.080,J,IF,Excellent,Excellent,Excellent,Slight,IGI,F5H34767,433686,3264.0000,-0.4900,3525.1200,,,,,Belgium,,,53369157
Rosediam Bvba,74519,ROSEDIAM,Round,1.070,F,SI3,Excellent,Excellent,Excellent,None,NONE,,R35361,,,,3510.0000,-0.3500,3755.7000,,Belgium,,,50815375
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.120,J,SI1,Excellent,Excellent,Excellent,None,GIA,5163062007,562361,3162.0000,-0.3800,3541.4400,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2013/10/7/5163062007.pdf,,53369183
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.220,I,IF,Excellent,Excellent,Excellent,Slight,IGI,F6C54780,499188,3666.0000,-0.5300,4472.5200,,,,,Belgium,,,53369276
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.230,I,IF,Excellent,Excellent,Excellent,Slight,IGI,F6F84206,564486,3666.0000,-0.5300,4509.1800,,,,,Belgium,,,53369282
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.230,J,SI2,Excellent,Excellent,Excellent,Faint,GIA,2147641169,536987,2976.0000,-0.3800,3660.4800,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/2/13/2147641169.pdf,,53369287
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.240,D,IF,Excellent,Excellent,Excellent,Medium,GIA,2127444257,474954,11880.0000,-0.4500,14731.2000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2011/10/10/2127444257.pdf,,53369288
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.250,I,VVS1,Excellent,Excellent,Excellent,Very Slight,IGI,F6F84207,562716,3700.0000,-0.5000,4625.0000,,,,,Belgium,,,53369302
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.250,J,VVS2,Excellent,Excellent,Excellent,None,GIA,2167752520,566913,4080.0000,-0.3200,5100.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/1/21/2167752520.pdf,,53369303
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.320,J,IF,Excellent,Excellent,Excellent,Medium,HRD,13024816010,559842,3648.0000,-0.4300,4815.3600,,,,,Belgium,,,53369330
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.330,E,VS1,Excellent,Excellent,Excellent,Strong,GIA,2157927783,562850,6634.0000,-0.3800,8823.2200,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/10/1/2157927783.pdf,,53369333
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.500,J,IF,Very Good,Excellent,Very Good,Medium,GIA,2127153334,447000,4108.0000,-0.4800,6162.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2011/6/23/2127153334.pdf,,53369392
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,E,VS2,Very Good,Very Good,Excellent,Strong,GIA,2157423474,552277,7205.0000,-0.4500,10879.5500,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/7/2/2157423474.pdf,,53369404
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,I,IF,Very Good,Excellent,Excellent,None,HRD,13028796016,563695,4230.0000,-0.5500,6387.3000,,,,,Belgium,,,53369428
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,I,IF,Very Good,Excellent,Very Good,Slight,IGI,F6E52930,535962,4418.0000,-0.5300,6671.1800,,,,,Belgium,,,53369429
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,I,VVS2,Excellent,Excellent,Excellent,Very Slight,IGI,F6D83305,523575,4250.0000,-0.5000,6417.5000,,,,,Belgium,,,53369444
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,I,VS2,Very Good,Very Good,Very Good,Slight,IGI,F6F18975,552023,4266.0000,-0.4600,6441.6600,,,,,Belgium,,,53369448
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,K,VVS2,Very Good,Very Good,Excellent,None,GIA,2127679967,483859,3120.0000,-0.4800,4711.2000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2012/1/9/2127679967.pdf,,53369461
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,K,VS1,Very Good,Very Good,Very Good,None,HRD,13017499006,548807,2907.0000,-0.4900,4389.5700,,,,,Belgium,,,53369463
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,L,VVS1,Very Good,Excellent,Very Good,Slight,HRD,12034676035,533761,2640.0000,-0.5200,3986.4000,,,,,Belgium,,,53369469
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.520,F,VS1,Excellent,Excellent,Excellent,Strong,HRD,13013125001,541190,6812.0000,-0.4800,10354.2400,,,,,Belgium,,,53369478
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.520,I,VS1,Excellent,Excellent,Excellent,Slight,IGI,F6F63953,563669,4428.0000,-0.4600,6730.5600,,,,,Belgium,,,53369497
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.530,I,IF,Very Good,Excellent,Excellent,None,HRD,11033319023,491842,4230.0000,-0.5500,6471.9000,,,,,Belgium,,,53369513
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.010,K,IF,Very Good,Very Good,Very Good,None,HRD,13001273017,537784,4845.0000,-0.4900,9738.4500,,,,,Belgium,,,53369644
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.010,K,VS1,Very Good,Excellent,Excellent,None,HRD,14001372009,568368,4256.0000,-0.4400,8554.5600,,,,,Belgium,,,53369645
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.010,K,VS2,Very Good,Excellent,Very Good,None,HRD,13019104035,551089,4032.0000,-0.4400,8104.3200,,,,,Belgium,,,53369646
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.010,M,VVS1,Very Good,Excellent,Very Good,Slight,HRD,13019104048,551705,3498.0000,-0.4700,7030.9800,,,,,Belgium,,,53369648
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.020,H,IF,Very Good,Excellent,Very Good,Slight,HRD,10014039013,415870,8131.0000,-0.5300,16424.6200,,,,,Belgium,,,53369658
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.020,I,VVS2,Very Good,Very Good,Excellent,Strong,HRD,13010926016,546154,5246.0000,-0.5700,10596.9200,,,,,Belgium,,,53369665
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.050,I,VS2,Very Good,Very Good,Very Good,Slight,IGI,F5A72015,229459,5512.0000,-0.4800,11299.6000,,,,,Belgium,,,53369687
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.170,H,VVS2,Excellent,Excellent,Excellent,Faint,GIA,2147643390,538680,9734.0000,-0.3800,21122.7800,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/2/13/2147643390.pdf,,53369704
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.310,M,VS1,Excellent,Excellent,Excellent,Medium,GIA,2167860402,568956,3900.0000,-0.3500,9009.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/2/19/2167860402.pdf,,53369714
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.500,L,VS2,Excellent,Excellent,Excellent,None,GIA,5163807432,566776,4464.0000,-0.2800,11160.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2014/2/4/5163807432.pdf,,53369726
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.730,K,VS2,Excellent,Excellent,Excellent,Strong,GIA,5173041431,572536,4680.0000,-0.3500,12776.4000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2014/3/24/5173041431.pdf,,53369735
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,3.010,H,IF,Very Good,Excellent,Very Good,Slight,HRD,13020066025,551357,13019.0000,-0.5300,39187.1900,,,,,Belgium,,,53369739
N. Shah & CO BVBA,68402,N. Shah,Round,0.810,M,VS2,Very Good,Excellent,Very Good,Medium,HRD,12005387016,12005387016,1470.0000,-0.3000,1190.7000,,,,,Belgium,,,37018180
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.530,K,SI1,Excellent,Excellent,Excellent,Strong,HRD,13008585027,533879,2496.0000,-0.5200,3818.8800,,,,,Belgium,,,53369519
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.540,E,VS1,Excellent,Excellent,Excellent,Strong,HRD,12028187001,514062,7800.0000,-0.4800,12012.0000,,,,,Belgium,,,53369520
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.550,K,VS2,Excellent,Excellent,Excellent,Slight,HRD,12013763011,501033,3135.0000,-0.4300,4859.2500,,,,,Belgium,,,53369532
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.610,K,SI1,Excellent,Excellent,Excellent,Faint,GIA,2147064402,519514,3068.0000,-0.4100,4939.4800,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2012/10/8/2147064402.pdf,,53369553
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.710,I,VS1,Excellent,Excellent,Excellent,None,GIA,2167537570,568078,6068.0000,-0.2600,10376.2800,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/1/8/2167537570.pdf,,53369577
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.800,G,SI2,Excellent,Excellent,Excellent,Strong,HRD,12024232062,509924,4500.0000,-0.4000,8100.0000,,,,,Belgium,,,53369591
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.000,F,VVS1,Excellent,Excellent,Excellent,Strong,GIA,1125911762,492518,12446.0000,-0.5100,24892.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2012/3/2/1125911762.pdf,,53369593
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.000,K,VS1,Very Good,Excellent,Very Good,Medium,HRD,13013491046,550770,4180.0000,-0.4500,8360.0000,,,,,Belgium,,,53369613
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.010,I,IF,Very Good,Very Good,Excellent,Strong,HRD,13014813024,542516,6118.0000,-0.5400,12297.1800,,,,,Belgium,,,53369631
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.010,I,SI2,Very Good,Very Good,Very Good,Slight,IGI,F6F46339,553680,4032.0000,-0.5200,8104.3200,,,,,Belgium,,,53369639
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.010,I,SI2,Excellent,Excellent,Excellent,None,HRD,13031007008,556083,4872.0000,-0.4200,9792.7200,,,,,Belgium,,,53369640
Van den Plas & Zonen Bvba,82795,VDP,Round,3.630,G,VS1,Excellent,Excellent,Excellent,Slight,HRD,12028579003,RD083,18480.0000,-0.3000,67082.4000,,,,,Belgium,,,53025144
SUPERGEMS NV,21343,Supergem,Round,0.620,D,VVS2,Excellent,Excellent,Excellent,None,GIA,1166317814,100078245,,,,3922.0000,-0.2600,2431.6400,,Belgium,http://www.supergemsgroup.com/certificates/100078245.jpg,http://www.supergemsgroup.com/diamondphoto/100078245-P.jpg,54971742
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,0.350,I,SI1,Excellent,Excellent,Excellent,None,IGI,113477421,36049,1104.0000,-0.3100,386.4000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/IGI/Certificates/2014/7/10/113477421.pdf,,54765817
SUPERGEMS NV,21343,Supergem,Round,1.210,I,SI2,Excellent,Excellent,Excellent,None,GIA,1179328985,100075656,,,,3536.0000,-0.3200,4278.5600,,Belgium,http://www.supergemsgroup.com/certificates/100075656.jpg,http://www.supergemsgroup.com/diamondphoto/100075656-P.jpg,53667227
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,0.330,I,SI1,Excellent,Excellent,Excellent,Slight,IGI,113477527,36048,1104.0000,-0.3100,364.3200,,,,,Belgium,http://s3.amazonaws.com/rap.certs/IGI/Certificates/2014/6/25/113477527.pdf,,54628347
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,0.410,J,SI1,Excellent,Excellent,Excellent,Very Slight,IGI,113477540,35996,1071.0000,-0.3700,439.1100,,,,,Belgium,http://s3.amazonaws.com/rap.certs/IGI/Certificates/2014/6/25/113477540.pdf,,54628353
GEM IMPEX BVBA,31573,GEMIMPEX,Round,1.510,D,VS2,Excellent,Excellent,Excellent,None,IGI,127406399,,9130.0000,-0.3700,13786.3000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/IGI/Certificates/2014/9/23/127406399.pdf,,56495586
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.060,D,VS1,Excellent,Excellent,Excellent,Strong,GIA,1166667255,60652,7018.0000,-0.4200,7439.0800,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2014/10/23/1166667255.pdf,,57531729
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.110,J,VS2,Excellent,Excellent,Excellent,None,GIA,2161410653,38276,3850.0000,-0.3000,4273.5000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2014/10/1/2161410653.pdf,,57531737
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.320,D,VS1,Excellent,Excellent,Excellent,Strong,GIA,2161677538,60648,8107.0000,-0.3300,10701.2400,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/10/22/2161677538.pdf,,57531752
N. Shah & CO BVBA,68402,N. Shah,Round,0.580,F,VS2,Very Good,Very Good,Excellent,Strong,HRD,14028025016,153/197,2280.0000,-0.4000,1322.4000,,,,,Belgium,,,56496836
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.500,I,VVS2,Very Good,Very Good,Very Good,None,IGI,F6G23646,566157,4080.0000,-0.5200,6120.0000,,,,,Belgium,,,53369387
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.500,I,VVS2,Excellent,Very Good,Very Good,None,IGI,F6D16597,508993,4080.0000,-0.5200,6120.0000,,,,,Belgium,,,53369389
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,2.000,I,SI1,Very Good,Excellent,Very Good,None,HRD,13026166013,563010,5432.0000,-0.4400,10864.0000,,,,,Belgium,,,53972725
SUPERGEMS NV,21343,Supergem,Round,0.390,D,SI1,Excellent,Excellent,Excellent,Faint,GIA,2161365008,160000577,,,,1562.0000,-0.2900,609.1800,,Belgium,http://www.supergemsgroup.com/certificates/160000577.jpg,http://www.supergemsgroup.com/diamondphoto/160000577-P.jpg,55725955
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,0.910,F,VS1,Excellent,Excellent,Excellent,Faint,GIA,2147948734,541978,5040.0000,-0.3000,4586.4000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/4/9/2147948734.pdf,,55617439
N. Shah & CO BVBA,68402,N. Shah,Round,0.300,H,VS2,Good,Very Good,Very Good,None,IGI,116423672,148/289,1400.0000,-0.3000,420.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/IGI/Certificates/2014/7/1/116423672.pdf,,55730160
SUPERGEMS NV,21343,Supergem,Round,1.210,J,VS1,Excellent,Excellent,Excellent,Faint,GIA,2156825100,170004273,,,,4350.0000,-0.2500,5263.5000,,Belgium,http://www.supergemsgroup.com/certificates/170004273.jpg,http://www.supergemsgroup.com/diamondphoto/170004273-P.jpg,48005739
SUPERGEMS NV,21343,Supergem,Round,1.510,H,VVS1,Very Good,Excellent,Excellent,Faint,GIA,2156889605,170004423,,,,7056.0000,-0.3700,10654.5600,,Belgium,http://www.supergemsgroup.com/certificates/170004423.jpg,http://www.supergemsgroup.com/diamondphoto/170004423-P.jpg,48005761
SUPERGEMS NV,21343,Supergem,Round,1.080,I,SI1,Excellent,Excellent,Excellent,None,GIA,2186260346,100084907,,,,4200.0000,-0.3000,4536.0000,,Belgium,http://www.supergemsgroup.com/certificates/100084907.jpg,http://www.supergemsgroup.com/diamondphoto/100084907-P.jpg,57106977
SUPERGEMS NV,21343,Supergem,Round,0.640,D,VS2,Excellent,Excellent,Excellent,Faint,GIA,7196768587,130014542,,,,3036.0000,-0.3100,1943.0400,,Belgium,http://www.supergemsgroup.com/certificates/130014542.jpg,http://www.supergemsgroup.com/diamondphoto/130014542-P.jpg,62659806
SUPERGEMS NV,21343,Supergem,Round,0.710,E,SI1,Excellent,Very Good,Excellent,Medium,GIA,1195768221,130014541,,,,2773.0000,-0.4100,1968.8300,,Belgium,http://www.supergemsgroup.com/certificates/130014541.jpg,http://www.supergemsgroup.com/diamondphoto/130014541-P.jpg,62659817
SUPERGEMS NV,21343,Supergem,Round,3.010,E,VS2,Very Good,Excellent,Very Good,Faint,GIA,2155304603,170004741,,,,16390.0000,-0.4500,49333.9000,,Belgium,http://www.supergemsgroup.com/certificates/170004741.jpg,,44895724
SUPERGEMS NV,21343,Supergem,Round,3.010,I,VS1,Very Good,Excellent,Very Good,None,GIA,2166668521,100046319,,,,10675.0000,-0.3900,32131.7500,,Belgium,http://www.supergemsgroup.com/certificates/100046319.jpg,http://www.supergemsgroup.com/diamondphoto/100046319-P.jpg,50263937
SUPERGEMS NV,21343,Supergem,Pear,1.420,D,SI3,Good,Very Good,Very Good,Medium,NONE,,170005661,,,,2700.0000,-0.4000,3834.0000,,Belgium,,http://www.supergemsgroup.com/diamondphoto/170005661-P.jpg,55471215
SUPERGEMS NV,21343,Supergem,Princess,0.530,K,SI3,Very Good,Very Good,Very Good,None,NONE,,170005510,,,,1326.0000,0.1050,702.7800,,Belgium,,,55471225
SUPERGEMS NV,21343,Supergem,Marquise,0.650,G,SI1,Very Good,Very Good,Very Good,Slight,NONE,,170005485,,,,1426.0000,-0.3800,926.9000,,Belgium,,,55471230
SUPERGEMS NV,21343,Supergem,Marquise,1.100,E,SI3,Good,Very Good,Very Good,None,NONE,,170005493,,,,2666.0000,-0.3800,2932.6000,,Belgium,,,55471233
SUPERGEMS NV,21343,Supergem,Marquise,1.120,D,SI3,Good,Very Good,Very Good,None,NONE,,170005490,,,,2700.0000,-0.4000,3024.0000,,Belgium,,,55471234
SUPERGEMS NV,21343,Supergem,Marquise,1.210,D,SI2,Good,Very Good,Very Good,Faint,NONE,,170005494,,,,2744.0000,-0.5100,3320.2400,,Belgium,,,55471235
SUPERGEMS NV,21343,Supergem,Marquise,2.010,H,SI3,Very Good,Very Good,Very Good,Faint,NONE,,170005497,,,,4000.0000,-0.2720,8040.0000,,Belgium,,,55471237
SUPERGEMS NV,21343,Supergem,Oval,1.000,E,SI2,Good,Very Good,Very Good,None,NONE,,170005503,,,,3240.0000,-0.4000,3240.0000,,Belgium,,,55471241
SUPERGEMS NV,21343,Supergem,Trilliant,3.040,J,SI3,Very Good,Very Good,Very Good,None,NONE,,170005698,,,,2650.0000,-0.5000,8056.0000,,Belgium,,,55471270
SUPERGEMS NV,21343,Supergem,Heart,0.900,L,SI3,Very Good,Very Good,Very Good,Medium,NONE,,170005474,,,,990.0000,-0.4500,891.0000,,Belgium,,,55471271
N. Shah & CO BVBA,68402,N. Shah,Round,0.400,I,IF,Very Good,Excellent,Excellent,None,HRD,11034251039,11034251039,1610.0000,-0.3000,644.0000,,,,,Belgium,,,35106362
N. Shah & CO BVBA,68402,N. Shah,Round,0.400,I,IF,Good,Very Good,Very Good,Slight,HRD,11034138028,11034138028,1495.0000,-0.3500,598.0000,,,,,Belgium,,,35106363
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,0.700,I,VS1,Very Good,Very Good,Excellent,None,,20002153190,567964,2730.0000,-0.3000,1911.0000,,,,,Belgium,,,53371263
SUPERGEMS NV,21343,Supergem,Round,0.670,D,VS1,Excellent,Excellent,Excellent,Medium,GIA,1199371269,100090782,,,,3196.0000,-0.3200,2141.3200,,Belgium,http://www.supergemsgroup.com/certificates/100090782.jpg,http://www.supergemsgroup.com/diamondphoto/100090782-P.jpg,61603535
SUPERGEMS NV,21343,Supergem,Round,0.900,E,SI2,Excellent,Excellent,Excellent,None,GIA,5193499413,100092766,,,,3905.0000,-0.2900,3514.5000,,Belgium,http://www.supergemsgroup.com/certificates/100092766.jpg,http://www.supergemsgroup.com/diamondphoto/100092766-P.jpg,61603555
SUPERGEMS NV,21343,Supergem,Round,1.720,H,VS2,Excellent,Excellent,Excellent,None,GIA,1197553390,100093694,,,,7614.0000,-0.1900,13096.0800,,Belgium,http://www.supergemsgroup.com/certificates/100093694.jpg,http://www.supergemsgroup.com/diamondphoto/100093694-P.jpg,61603667
SUPERGEMS NV,21343,Supergem,Round,0.680,D,IF,Excellent,Excellent,Excellent,Medium,GIA,1193710084,100095776,,,,5780.0000,-0.3200,3930.4000,,Belgium,http://www.supergemsgroup.com/certificates/100095776.jpg,http://www.supergemsgroup.com/diamondphoto/100095776-P.jpg,62362694
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.550,F,VVS2,Excellent,Very Good,Excellent,None,GIA,2176918328,CC2668,2942.0000,-0.3600,1618.1000,,,,,Belgium,http://88.85.90.134/disimage/cert/CC2668.PDF,http://88.85.90.134/dnadetails/dna.aspx?id=CC2668,60580029
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.030,D,VVS2,Excellent,Excellent,Excellent,Medium,GIA,2161667341,60662,9324.0000,-0.3700,9603.7200,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/10/23/2161667341.pdf,,57272202
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.030,I,VVS1,Excellent,Excellent,Excellent,Very Slight,IGI,119440998,36161,4070.0000,-0.4500,4192.1000,,,,,Belgium,,,55745047
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.060,I,SI1,Excellent,Excellent,Excellent,None,IGI,119440957,36152,3600.0000,-0.4000,3816.0000,,,,,Belgium,,,55745048
Superstone Diam Bvba,79156,Super,Round,1.520,D,VS1,Good,Excellent,Excellent,Medium,GIA,2136681995,,,,,8755.0000,-0.4720,13307.6000,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2012/8/21/2136681995.pdf,,55989353
N. Shah & CO BVBA,68402,N. Shah,Round,0.540,J,VVS2,Excellent,Excellent,Excellent,None,HRD,14029782001,14029782001,1820.0000,-0.3000,982.8000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/HRD/Certificates/2014/9/22/14029782001.pdf,,56322556
Millenium Star Bvba,81197,MILL,Round,0.300,E,VS1,Excellent,Excellent,Very Good,None,GIA,2186838385,,1800.0000,-0.2500,540.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2014/12/11/2186838385.pdf,,65617967
Millenium Star Bvba,81197,MILL,Round,0.300,E,VS1,Excellent,Excellent,Very Good,None,GIA,5186526106,,1800.0000,-0.2500,540.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2014/11/4/5186526106.pdf,,65617968
Millenium Star Bvba,81197,MILL,Round,0.300,E,VS1,Excellent,Excellent,Very Good,Faint,GIA,1205331197,,1680.0000,-0.3000,504.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2015/7/16/1205331197.pdf,,65617969
Millenium Star Bvba,81197,MILL,Round,0.310,G,VVS1,Excellent,Excellent,Excellent,Faint,GIA,2208397639,,1800.0000,-0.2500,558.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2015/7/16/2208397639.pdf,,65618001
Millenium Star Bvba,81197,MILL,Round,0.340,D,VS1,Excellent,Excellent,Very Good,None,GIA,6195589242,,1950.0000,-0.2500,663.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2015/3/17/6195589242.pdf,,65618014
