Seller Name,RapNet Account ID,Name Code,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,Fluorescence Intensity,Lab,Certificate Number,Stock Number,Price Per Carat,Price Percentage,Total Price,Cash Price Per Carat,Cash Price Percentage,Total Cash Price,State,Country,Certificate URL,Image URL,Diamond ID
SUPERGEMS NV,21343,Supergem,Round,1.110,H,VVS2,Excellent,Excellent,Excellent,None,GIA,6232184721,100124644,,,,6318.0000,-0.2200,7012.9800,,Belgium,http://www.supergemsgroup.com/certificates/100124644.jpg,http://www.supergemsgroup.com/diamondphoto/100124644-P.jpg,73680150
SUPERGEMS NV,21343,Supergem,Round,1.180,F,SI1,Excellent,Excellent,Excellent,None,GIA,3235200878,100124807,,,,6080.0000,-0.2000,7174.4000,,Belgium,http://www.supergemsgroup.com/certificates/100124807.jpg,http://www.supergemsgroup.com/diamondphoto/100124807-P.jpg,73680152
SUPERGEMS NV,21343,Supergem,Round,1.210,D,SI2,Excellent,Excellent,Excellent,None,GIA,6231104786,100124060,,,,6003.0000,-0.1300,7263.6300,,Belgium,http://www.supergemsgroup.com/certificates/100124060.jpg,http://www.supergemsgroup.com/diamondphoto/100124060-P.jpg,73680154
SUPERGEMS NV,21343,Supergem,Round,1.210,F,VVS1,Excellent,Excellent,Excellent,None,GIA,2175743483,300001705,,,,9120.0000,-0.2400,11035.2000,,Belgium,http://www.supergemsgroup.com/certificates/300001705.jpg,,73680155
SUPERGEMS NV,21343,Supergem,Round,1.210,H,VVS2,Excellent,Excellent,Excellent,None,GIA,6235168522,100124571,,,,6399.0000,-0.2100,7742.7900,,Belgium,http://www.supergemsgroup.com/certificates/100124571.jpg,http://www.supergemsgroup.com/diamondphoto/100124571-P.jpg,73680156
SUPERGEMS NV,21343,Supergem,Round,1.250,D,VS2,Excellent,Excellent,Excellent,None,GIA,2236219706,100125054,,,,8560.0000,-0.2000,10700.0000,,Belgium,http://www.supergemsgroup.com/certificates/100125054.jpg,http://www.supergemsgroup.com/diamondphoto/100125054-P.jpg,73680157
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,E,SI2,Excellent,Excellent,Excellent,None,GIA,2236050041,184931,4488.0000,-0.3200,4532.8800,,,,,Belgium,http://www.feedcenter.net/files/258/certs/2236050041.Pdf,,73581451
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.020,D,SI1,Excellent,Excellent,Excellent,None,GIA,7228864952,184928,5904.0000,-0.2800,6022.0800,,,,,Belgium,http://www.feedcenter.net/files/258/certs/7228864952.Pdf,,73581453
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.020,E,SI2,Excellent,Excellent,Excellent,None,GIA,6221865781,184927,4488.0000,-0.3200,4577.7600,,,,,Belgium,http://www.feedcenter.net/files/258/certs/6221865781.Pdf,,73581454
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.020,F,SI1,Excellent,Excellent,Excellent,None,GIA,6225783446,184926,5548.0000,-0.2700,5658.9600,,,,,Belgium,http://www.feedcenter.net/files/258/certs/6225783446.Pdf,,73581455
